Technology,Peak average maximum upload speed,Peak average maximum download speed,24 hour Latency,24 hour packet loss
ADSL,0.389224,6.885184774,29.04974823,0.001
ADSL,0.999696,20.79109858,6.02455632,0.0001
ADSL,0.681192,2.502464,48.94228112,0.0032
ADSL,0.710096,4.871790968,27.03786237,0.0014
ADSL,0.980008,12.44449167,16.95077798,0
ADSL,0.665376,4.364442322,52.11727557,0.0097
ADSL,0.71944,15.10623174,30.57264117,0.0006
ADSL,0.68152,3.95824671,32.90407622,0.0036
ADSL,0.86112,9.453967484,23.6728107,0.0002
ADSL,0.868424,6.666112516,30.27435294,0.0029
ADSL,0.148272,0.456886194,49.66027569,0.0003
ADSL,0.581184,1.686436645,26.95170183,0.002
ADSL,1.068416,16.43661832,7.45271306,0.0004
ADSL,0.861592,7.776355097,23.10720138,0.0007
ADSL,0.859392,17.32544067,20.80773387,0.006
ADSL,0.529024,7.885733866,30.68058577,0.001
ADSL,0.899,9.306586322,27.83176536,0.0001
ADSL,0.679248,2.692895484,37.37305907,0.0004
ADSL,0.78564,1.367990194,32.91623648,0.0004
ADSL,1.039104,15.28540981,9.43072614,0.0008
ADSL,0.678544,12.142656,16.39390476,0.0004
ADSL,1.058688,19.48229264,11.71401245,0.0012
ADSL,0.875944,12.70660129,15.01626667,0.0026
ADSL,1.037184,19.69244622,18.41802941,0.0001
ADSL,1.019392,12.950048,18.57935424,0.0005
ADSL,0.748568,9.655710571,31.07609571,0.0001
ADSL,1.080576,19.83273729,12.15170663,0.0003
ADSL,1.058912,15.38504138,16.47756999,0.0007
ADSL,1.059736,15.00656232,16.53836111,0.0008
ADSL,0.761472,3.333856727,26.50692,0.0229
ADSL,0.649392,1.780959742,22.61474756,0.0007
ADSL,1.091208,20.06211226,12.01199441,0.0001
ADSL,0.479576,1.59796929,44.16599024,0.0078
ADSL,0.679448,2.404512774,31.68666308,0.0058
ADSL,1.05984,13.87674168,16.54627714,0.0049
ADSL,0.829952,7.541294194,15.40758564,0.0009
ADSL,0.984704,10.719864,27.95853551,0.0006
ADSL,0.886192,10.44875716,23.18091884,0.0001
ADSL,0.941176,8.264498581,16.1417591,0.0003
ADSL,0.335936,3.333737778,32.10933777,0.0026
ADSL,0.860264,11.17960852,31.70308787,0.0004
ADSL,0.704016,2.4631792,45.36617838,0.0032
ADSL,0.986216,4.690561482,17.58726818,0.0042
ADSL,0.34288,1.822579466,29.24012591,0.0018
ADSL,0.843904,4.840482581,12.07171469,0.0007
ADSL,0.730368,17.52397787,27.32814928,0.0004
ADSL,0.851176,14.989698,31.6338915,0.0008
ADSL,1.00408,15.02902555,21.44644711,0.0008
ADSL,0.731408,4.059230194,27.67216164,0.0009
ADSL,0.673608,2.273112516,29.18285817,0.0018
ADSL,0.96024,6.072941066,7.50681895,0.0002
ADSL,0.950336,5.666235871,30.01658848,0.002
ADSL,0.740736,3.016673806,29.0842451,0.0001
ADSL,1.078272,12.15389884,23.74090582,0.0058
ADSL,0.812032,8.048271742,25.3891701,0.0021
ADSL,0.859136,8.643733678,30.42267814,0.0007
ADSL,0.992064,19.21009497,10.80515113,0.0015
ADSL,0.938544,8.667186065,25.63761676,0.0002
ADSL,0.860256,3.222689334,32.9712239,0.0005
ADSL,1.076936,16.63201821,12.70373964,0.0001
ADSL,1.1204,15.84440645,14.19608181,0.0009
ADSL,0.376704,3.841154065,21.17579675,0.0007
ADSL,0.651368,4.874480516,14.30196575,0.0002
ADSL,1.003136,8.944215742,30.27983565,0.0009
ADSL,1.00224,5.614828903,22.42733241,0.0003
ADSL,0.959264,14.49723768,30.86673859,0.001
ADSL,0.926208,12.90987257,18.20358548,0.0006
ADSL,0.950344,14.93881867,27.11620458,0.0001
ADSL,1.025832,8.609622452,11.67731421,0.0013
ADSL,0.796616,8.826018065,30.37177686,0.0021
ADSL,0.372272,1.917091613,32.15774697,0.0005
ADSL,0.783408,2.486984,39.41643733,0.0043
ADSL,0.857928,3.389546322,42.34716252,0.0024
ADSL,0.920088,7.108979613,19.40427709,0.0002
ADSL,0.683496,5.792412129,34.70776556,0.0016
ADSL,1.068232,9.76425471,18.01020937,0.0003
ADSL,0.373248,1.398028903,23.6883058,0.041
ADSL,0.891368,15.60002245,15.46794686,0.0052
ADSL,0.748976,12.84440903,31.98437167,0.0008
ADSL,0.978048,6.263489806,21.32531181,0.0005
ADSL,0.683456,3.113346666,22.64549417,0.0001
ADSL,0.883856,6.80076929,35.05098474,0.0002
ADSL,0.960312,13.86630606,24.27506638,0.0021
ADSL,1.0312,12.87321718,25.26349684,0.0008
ADSL,0.646272,4.356556235,34.96867857,0.0015
ADSL,1.127272,19.32790039,16.6964567,0.0004
ADSL,0.943328,5.713878571,35.22920737,0.0025
ADSL,0.794312,4.094017548,32.92565145,0.0018
ADSL,1.085248,18.69509673,14.0122471,0.0004
ADSL,0.697368,16.11979948,27.51169918,0.0007
ADSL,0.373248,1.899654621,41.00417508,0.0011
ADSL,0.646272,5.825417548,19.60950904,0.001
ADSL,0.883304,1.84591329,27.03585813,0.0002
ADSL,0.6804,12.09770916,24.31355259,0.0011
ADSL,1.070608,8.835706838,20.21466207,0.0002
ADSL,0.860008,15.46505755,20.01461227,0
ADSL,0.761472,14.24057445,28.63381706,0.0004
ADSL,0.909344,3.942978838,25.44621858,0.0003
ADSL,0.75456,16.97205574,27.13969143,0.0008
ADSL,0.7712,17.77493342,31.35212011,0.0002
Cable,20.898096,214.0980963,19.20421667,0.0012
Cable,6.033792,111.5843985,23.24665427,0.001
Cable,36.93932,341.4634821,16.90366341,0.0044
Cable,36.958376,380.6369149,18.8745206,0.0003
Cable,4.100728,63.03166658,16.52113306,0.0008
Cable,6.034352,111.5922622,18.59094417,0.0009
Cable,10.118552,165.8524898,14.72309129,0.0019
Cable,10.045432,157.4820826,16.13643281,0.0002
Cable,12.144944,218.676792,16.30587123,0.0001
Cable,36.671808,380.4462103,22.41377473,0.0006
Cable,36.929048,378.7401703,20.25909357,0.0084
Cable,21.055968,219.5318926,15.13266206,0
Cable,20.808496,204.7911323,24.49098121,0.0001
Cable,6.017784,86.18987226,23.14758929,0.0002
Cable,6.051632,111.8866764,19.27436488,0
Cable,6.041712,111.6403613,17.13199726,0.0002
Cable,20.826512,219.7533531,17.46064729,0
Cable,21.001744,219.4036973,18.19036364,0.0002
Cable,6.117384,109.5502725,16.68340878,0.0002
Cable,3.05288,54.84361884,23.70520194,0.0015
Cable,6.012352,111.7093045,18.33807202,0.0007
Cable,5.026416,73.48144207,16.09002217,0.0008
Cable,28.608952,4.6377688,23.56508929,0.0004
Cable,21.034408,219.42321,15.90523333,0.0005
Cable,36.481288,379.8600452,17.9821989,0.0002
Cable,36.930976,378.6009299,16.48102188,0.0029
Cable,36.629296,380.8206963,17.73795297,0.0007
Cable,10.014592,164.4743618,17.45561708,0.0001
Cable,21.013344,184.5265949,20.10219821,0.001
Cable,21.4256,215.977488,19.00354945,0.0018
Cable,37.013552,544.9560095,20.68351928,0.0011
Cable,36.944152,176.9358452,14.94636951,0.0058
Cable,6.05488,111.8108625,18.8154,0.0001
Cable,12.125368,218.2606475,14.709241,0.0004
Cable,36.655216,381.798771,14.51248911,0.0044
Cable,10.013392,164.7356648,18.89904237,0.0001
Cable,21.224192,215.7041264,22.23960577,0.0014
Cable,21.028096,217.8565688,15.90234607,0.0031
Cable,32.994192,369.548455,19.55539604,0.0036
Cable,36.913864,383.4336867,19.69636527,0
Cable,20.877504,211.826768,16.20213736,0.0001
Cable,20.911176,218.7374756,15.06392946,0.0004
Cable,10.014864,164.6244637,16.89792181,0.0002
Cable,20.926784,219.7223288,16.76808264,0.0006
Cable,10.034656,164.6880439,15.31807005,0
Cable,36.958984,383.9129861,19.15508127,0.0005
Cable,36.650608,339.672119,15.50669369,0.0005
Cable,36.929312,381.6324312,19.77087345,0.0002
Cable,6.036552,111.6246939,16.02742798,0.0002
Cable,36.977,383.7444502,19.54894343,0.0004
Cable,20.907856,219.7477559,14.75079253,0.0003
Cable,21.035792,219.0929733,18.66164476,0.0004
